image_name,off_formation,off_play,off_play_type,play_res
7483f3edcf816ced88dd29683da37b19ee781f5b1967caaaccf143c60f4a88f1.png,B FLEX,,Pass,Complete
3fd783eaf4679e2040a55f9813b310f6dd1b9f07bf31089de86305c41387323f.png,ROCKET,,Pass,Incomplete
7aa9de0ed653be9252fcf7566f4ca49bbda7086758816bec80aab174ff6b2dc6.png,B FLEX,GB COUNTER,Run,Rush
4ec41a3639813986ceb7d2d60194007f6e877f868a14cc7a43ebae282e068b0b.png,B FLEX,,Pass,Incomplete
b068c5971505012c65433cdcc5d604babb0512d780d8dd63c6727f5e45b9d0c8.png,ROCKET,,Pass,Complete
8a8c59aaf95349495809bf0701859bc734f374de9c423cf11600e2dc7a4cbc82.png,MIAMI SPLIT,,Run,Rush
9c892ac2aae00f64de6f1e6cc99adf058074e744debbb11ebd08d5563038c629.png,B FLEX,,Run,Rush
54b77eecaf8c911056a5db14e411bf48808157420866c166f44361f3f7c51ab9.png,B FLEX,,Run,Rush
e13028608727ad70a7bcd1719e5a168f9fbf78e046fb90ad1b9e678ab048543c.png,B FLEX,,Pass,Incomplete
79105b6382f2fe9eddcc6973627533748b853be10fae71b8d472b490a75aaf31.png,B FLEX,,Run,Rush
f69298ee035002bc84828dea62a3934c59fc8b162267a3d319508a238b745d2b.png,ROCKET,,Pass,Sack
c93afcebadcc7e7dee4fbad37e90f73c8cd625e9c89fc3f92c1c1d87be04ab97.png,ROCKET,,Pass,Incomplete
5be8fb6830b8c182536647cb33e4d6b3af3b38a05838defafafb83f736d73771.png,B FLEX,,Pass,Complete
3054ea3907a14c9f3153e572384ac2fa1b22dc481cbccdefa482f81c2ab64e41.png,ROCKET,,Pass,Scramble
025471c61e5eebad4fbc87a0cb2bdd7a1be0c24e1ea138d584ab5cd2333bad69.png,ROCKET,,Pass,Scramble
00607bdd8460370c8cda06e5d35dca97a60a224b8e655f0ebb12907d292ae401.png,ROCKET,,Pass,Incomplete
bb1510f02295205e4e56336ad100f4fc251139112469e58236a075886e789751.png,ROCKET,,Pass,Sack
71bc314f8a94a7e5350357c25633e63bf765a708f41ad1916ad6c0c600f38949.png,MIAMI SPLIT,,Run,Rush
d3e29b183ae28ed7cc3ae13a5c0d46bcdaec640281c4a233c11135cf1c3bed7d.png,ROCKET,,Pass,Complete
5e3f7cc947712e47b7074cf9128d46153a2289fa927e3cb99ddacf00c7bd55db.png,B FLEX,,Pass,Incomplete
c43adf41fc37a3bd7554a149acfa57edb0366d159437d13deccb1e2b13fce9b0.png,ROCKET,,Pass,Penalty
a6253f83027a704341525306e0794b1acb04e3278eb7ba17d69c17a8638e6fc2.png,ROCKET,,Pass,Sack
2a4d36a3d5a1e8046cb429fef5e3a5f82a82c77e6183d051fb8a4e11a9690019.png,B FLEX,,Pass,Sack
56b7bf9926807f922f759a80447973eb9f520b5f21e6d9156500ab1b43f711e4.png,SPACE,,Pass,Sack
a27eec589d065ac4f1c8626fba8abb55d7577a300401073453141eee56423b51.png,SPACE,,Pass,Scramble
59da943e578ad377017197a2d37bee4475b07ef5bc09feacfd384aacecb123a5.png,SPACE,,Pass,Complete
5a46b04618c990e3493bbf39d86fa7d0d51aade6fd3c30c16522ee9050cfc436.png,SPACE,,Pass,Scramble
26f20bcf1c83844480337d6c51a0c010331959c6799263596b81dce4d97d815c.png,SPACE,,Pass,Incomplete
94c92d4bcf869b65f1216e3cb37f9ae57350502ec39eb1e0da5bf0e2547f3f7f.png,SPACE,,Pass,Interception
67368c6d885f2c776b4c3efaec66ab2a4b800fbaf400bb9f4296fb4ef347539a.png,B,,Run,Rush
d728286e267133fa788f864947b4b7eea5c6f52f2398b75c65f1e56b88a17845.png,SPLIT,,Pass,Complete
455b94b16080e08af7ec558e2a6f5f349da9f804d2efec5e3fa997fd05633e73.png,B FLEX,,Run,Rush
2a80f0c598284f4c31739c95bf2d5354b1ced8416adfffbae7957151be6f5a24.png,SPLIT FLEX,,Run,Rush
b1e1f354d6476de0fa29d3cd172a066e72850751351b26fec568835da5443e7e.png,PLANE,,Pass,Complete
cb990f23dddc40d0c3b2d6c3dfaa90330adedf68aab2af067980157753463b08.png,SUPER,,Run,Rush
6fab4eeaf79e178de862188b3f3f706e1898a1b32a4640c37698d84231ec8f10.png,CHIEF,,Pass,Incomplete
e709edc2e251299c39dd187f1667fe3d091b17f98a936ed67140592b0753b4fe.png,ROCKET SQUEEZE,,Pass,"Complete, TD"
2da675ea4bcfcc10744c50b06049fead74bad653500bcd7131f5cab5bfc55ee0.png,SPLIT,,Run,Rush
52f5ad40fecaa06c2c4f7c5e8fbd81651267b6742699c36048aa07689a30c95d.png,WOLVERINE,,Pass,"Complete, TD"
79c062b2fcec8dc293d917a428e9ceda9f1ccd39152b437ed9db8458a0db5fdf.png,SPLIT,,Pass,Incomplete
eb7466d760cf3a03b8471031a7fa464c1929540106255b4fc85ff556f47bb4fd.png,SPLIT,,Run,Rush
e66ba082463b679a4a7020fc83b7a8b300e8001dc76dca50f458d27f7ed54b90.png,SPLIT,,Run,Rush
27a0208691a3a23aad02fd20850a74ba64ebe4a38cbc0dfc20e2c090d5f88bbd.png,SPLIT,,Run,Penalty
4082b97a82c39a63e763eecf2a71ec57ebfbcf62380747d6e6896b3bf649b1c5.png,ROCKET,,Pass,Incomplete
363d8133757fd95b97c8b8178ca8c31120e857e3715d45f0b5637d7a5f415e68.png,ROCKET,,Run,Rush
d486d16171f3809ce4f8dd55966648398f32b9df8ec9af42be89464615c774ab.png,ROCKET,,Pass,Incomplete
fb4e24a2a2fd17c5e37447b8ba1266a39390e5481da484d9a414943ac42d2f6b.png,B,,Run,Rush
723c923b4c7387f8dd09ac8f363e75e44cf0705fcc8ca0a43576b8e995961af3.png,CHIEF,,Run,Rush
071184c6e79d8e193139c1752630a97168d81b91f57e97cad462cfcbe6f5da88.png,CHIEF,,Pass,Incomplete
7fc60b32e76c09e616fa93820949f35aa8fce4e82b69e57438eb0c613a0614d2.png,ROCKET,,Pass,Incomplete
256ae9990fa3d204e52fdff173836efe1616a6a1b64d51f598f4b5bd6a844ad1.png,TRIO OVER,,Pass,Incomplete
f17221d057d2039dcae173777a3a06e8fb03dabe51db3228c18236e98ebd529e.png,SPLIT,,Pass,Complete
be8eafa5ab2b42afb62a8fa19629dbd8f3203bf5dbf301d3bcaff1c0b7b06bfa.png,SPLIT,,Run,Rush
4dcdf889027bc963c42a850affea13898cae69b19f2cf8c9e50e2be079a33269.png,SPLIT,,Run,Rush
574905a1e2cdfa2453ef5143dcd44e19704ccb4edda015fac55d10f92714174c.png,SPLIT,,Run,Penalty
fdd419696e9ff85594bf257fe6c39aabd855b89016f1672e686290f47d45e1ba.png,SPLIT,,Run,Rush
441493c3c3fa4d44f1d3d882d2186bba85c77eddc1f902295177a6c3d7800ec4.png,SPLIT,,Run,Rush
e1cd0eecc14d70f7b96446d34aa585904ce6eb96b6fe75a3f7e80a3f81efbc3e.png,SPLIT,,Run,Rush
986103e744580db27add1cd5b4d26158ca62f529951b932423c6335cd4c97bd7.png,SPLIT,,Run,Rush
089fa25403ab9e6db2ea78230bc94f7d49f19943d577fc9a88171e65e15c9cf3.png,SPLIT,,Run,Rush
8760e76ba34d4b9c7b54894f93fc13c959d69f7cdc4d6126e1114d39b830b742.png,SPLIT,,Run,"Rush, TD"
ec4ad9a6c17a4ac38e252c9127357ee7f569b9e97aeaa86f7da3ca8b399bd5f2.png,B FLEX,,Run,Rush
3b7eb2ba5c52ba285a6b2262bbdcbbcea84f3921c7a1dc9af73a8f21ae55fa0f.png,B FLEX,,Pass,Incomplete
c3ef4c455a457f9ed8c9a6c68089906d268cc041666e42c431b784fcc1ee1d34.png,PLANE FLEX,,Run,Rush
a9dd22fb75f36c5d482ed3bfa6e337f2069b9c6e77816d7e086db3dcb3f1d264.png,TRIO OVER,,Pass,Penalty
6a44fbc3a3893f54995032762b51421433437a7c4010d4408ad4f1a7594c659d.png,TRIO,,Run,Rush
7f0dcbab97dea3001a493cc23befcb0668c3c157e8c1addc778bc499b5b460c7.png,B FLEX,,Pass,Incomplete
f8fe1bbc0807dad9d03bc2469a36b9bb8981a5b04bb7455d94e78c151b99791f.png,ROCKET,SCREEN,Pass,Complete
6ff986bcadb861abbaa7a38d07ffc330d19913db4411181233421f9374ff30ec.png,SPLIT,,Run,Rush
da241ede03c11c50b4cd024efed1897287d963c90e8c2c565db07e3557c055c3.png,PLANE FLEX,,Run,Rush
a85387c1dc6e7cdba6628438c922d86b537b9822281955d41577730aa6d6f71c.png,TRIO SPLIT,,Pass,Incomplete
5be42244ce9ce88fdfd21bbf1532258f31965e3a54330766906c5dd373cef1e1.png,BENGALS,,Run,Penalty
7bb6464057d8c3cf4d1ce01cf8fbf8c9c4e60bfd5df7271b90c8c80f70322fa0.png,BENGALS,,Run,Rush
fa6b788de0daf45f9382747c12c570d9d4f226259b1c682b1d810843637cff14.png,BENGALS,,Run,Rush
219fa8a34d494298f5f2d0ec06c4a0fe85b9e47af30291cd334ff037091117a9.png,BENGALS,,Pass,Complete
29051c053d604784d364856c801426c153f6dcd1e765e698dee6fb128ebfae4f.png,BENGALS,,Run,Rush
e842d166425e2e904cf8ef75c2dc52bcd4bd26df21892f04185990914e6cf0ba.png,BENGALS,,Run,Rush
a0ee5c7006fec1891bb08b40d01da206c9f0593a3e7c250488c08f2d5112c73c.png,TRIO OVER,,,Timeout
76cda1b0d4ff015cfa63b56a0f6914fb93312ef35fc86c84ed1f8fa7119b67fd.png,CHIEF,,Pass,Complete
969e07146b8433b4d059e08d182c3f306b2b123c0e7f156f60d3275f4c8bc426.png,ROCKET SQUEEZE,,,Timeout
8cefe878b0c9358e6897e60dc55b2752eb5f897552aa1e8f10a338a81b81b28e.png,ROCKET SQUEEZE,,Pass,Interception
8a3ed4e5d5741850a6ada66e09b47b658fa4ec29a08c0b661d678e6111ef8f41.png,PLANE FLEX,,Pass,Incomplete
510bdc03c037e9b323cd2faf49bcd01793309d7359e9e2fdc05d083c706ba677.png,PLANE FLEX,SCREEN,Pass,Complete
8488517754d2008125c5ef46a7b4235e28085d6f6db21b3b56b5bf4bc98d207a.png,PLANE FLEX,68,Pass,Complete
6c27430d0d8496789e70f571556e1ac13892e5af2b9f071a10b30bdc40e1f4dc.png,PLANE FLEX,,Pass,Complete
a631d9b06f1caa6cd162ac33817aa773f33f4e838083df5da3cfabc53c951cd3.png,PLANE FLEX,,Pass,Penalty
43978761105b38a1606909c955c134b71dba82099f73a571fb6c41b898c696d7.png,PLANE FLEX,68,Pass,Sack
8ed54afb124245881be8d0351671a28e043223c46544218f15387628a91a7ff3.png,PLANE FLEX,SCREEN,Pass,Complete
1c9b44bd9648cfc8633254f693c8de16d47d0561be7425983f5b7cbabff4f6e0.png,PLANE FLEX,,Pass,Incomplete
4ae1fa2b37429b8dc44e493d8539f8195ea32d1f16807b23f623eb523f1ebb4d.png,PLANE FLEX,,Pass,Incomplete
b0a957acec529488eaa085b2234585ceffe56ec376ec3d05bcb824de6ff986b1.png,BUNCH SQUEEZE,BOOTLEG,Pass,Complete
df245fd2a1f9ffa00ae395fe04ddf4b2ba8151333166fae64419217f4f637691.png,PLANE FLEX,,Run,Rush
ea99d51e1dcf5da8ba81061b4f83658754ec8f1fa1c56125e74f388c7002be89.png,STRONG TIGHT,,Run,Rush
4b6364c056d139bd673eb0ddc1c026676aa402db249175c08b9fbbe5ae7d0289.png,KINGS SPLIT,,,Penalty
a64f3405c1375f5130bc0658423c71ec5ebb0a00558f78f5df483ce82a00cb10.png,ROCKET,,Pass,Scramble
5878802d8b10a4af90c15949b5f0a4a9a1df126049bb4b33229e0b5f23be8dac.png,STRONG SPLIT,,Pass,Complete
f7a8fb28831d9590a3534341f0dd50c1b1b0174b37992a3a7bbc763e5a7377ca.png,B FLEX,,Run,Rush
f7a8fb28831d9590a3534341f0dd50c1b1b0174b37992a3a7bbc763e5a7377ca.png,B FLEX,BOOTLEG,Run,Rush
f877444de25ddf931394c9eaeff095a6fcedc45a9b78ec227d42174aad93dcd4.png,WEAK SPLIT,,Pass,Complete
3aa9e926b09e2e320a0d0e530e62fc612b78ef31bb44079fc254b65a5f029dca.png,PLANE FLEX,,Run,Rush
3944daeeec09fa758838f1a5cb9e9be75609c1beb93c7ffd8732f7d30b75ba9b.png,PLANE FLEX,,Run,Rush
fc282fec065dbe09c628aa32a3088a991b2d44b3c7b58122697963f5c5393875.png,PLANE FLEX,,Pass,Complete
41ca178c53b906a2ab193298dececfc0eb4cf01b88c597cc18ce4d0350beed25.png,WEAK SPLIT,,Pass,Complete
1cc61c6da52fe5901136741f9b91579b55e33b8b8d522ec6921231b063f66006.png,WEAK SPLIT,,Run,Rush
19afc8def1d0c3e5dc151bb8ff7104816d216775996e7fa5d592f00b57a0cb59.png,PLANE FLEX,,Pass,Incomplete
8e77a200e65c667109a967807b932d84b1c7efc93b4d47f72b1d1daf877e0ca0.png,CHIEF,,Pass,Penalty
ba0c280c4c45b92bf10407563c5e20e013e2566ec47542ca1b6cddc4310d0790.png,CHIEF,,Pass,Interception
6969a1511e5e62eb827e1abacc22304ed88db0a18cedd7c33a816d307e326c5f.png,B FLEX,SNEAK,Run,"Rush, TD"
5729245a44b23adb7f2055a5783a7d5f0152be291d58955215a77a438fd0cd95.png,I,ZAC,Pass,Complete
563b948031c896e92f3243924d93d34c2d650c487fb66d5f8a78b8a8e5f34fb3.png,TWINS I,,Run,Rush
f7a8fb28831d9590a3534341f0dd50c1b1b0174b37992a3a7bbc763e5a7377ca.png,PLANE FLEX,PENN STATE,Run,Rush
f7a8fb28831d9590a3534341f0dd50c1b1b0174b37992a3a7bbc763e5a7377ca.png,I FLEX,FB DIVE,Run,Rush
12f07fba964ccae54348e2eb4f5a86662007db433506bb237287e0f19760c911.png,B FLEX,GT COUNTER,Run,Rush
f7a8fb28831d9590a3534341f0dd50c1b1b0174b37992a3a7bbc763e5a7377ca.png,ROCKET,MAINE,Run,Rush
5729245a44b23adb7f2055a5783a7d5f0152be291d58955215a77a438fd0cd95.png,KINGS SPLIT,,Pass,Complete
f8d2c3ce5bdbccf17faa87869e2b5da50acba26409a7fd98b9d284b3a649c0a4.png,ROCKET,,Pass,Complete
b9e08cc8a8ac7ee7dbfee1e5f0552015d3337e4cdff76d8daf881567dbbb7189.png,KINGS SPLIT,,Run,Rush
5729245a44b23adb7f2055a5783a7d5f0152be291d58955215a77a438fd0cd95.png,KINGS SHORT,,Pass,Complete
3688980dd47e5c25867935ebd4dfa994ea8a37720ff0a65301c548ccc987f2b7.png,MIAMI SPLIT,,,Timeout
0321cd79b83b56bca58de32fc0b55b750e9fb23e672ef440fcca679fc0c63b59.png,MIAMI SPLIT,SNAKE,Pass,"Complete, TD"
80b07fddddcd91ecfd84d04588a666f52b751eb3387daacd4ea2db1889552390.png,STRONG FLEX,,Run,Rush
47b9f96f6a36eff5790b94361e6911ac7b13c718fe7b0e64285e10be4d91c179.png,KINGS SPLIT,SCREEN,Pass,Sack
f7a8fb28831d9590a3534341f0dd50c1b1b0174b37992a3a7bbc763e5a7377ca.png,STRONG FLEX,,Run,Rush
3ec8919cf31ec0da8558f25fcc0e06e9b2eb1ecf08ee53192069bc734c2c5112.png,PLANE FLEX,,Pass,Incomplete
be5c808cc4706e425fbc1d0d66fd6db917ee9a5be112548e988f2bb0a6c61ffb.png,PLANE FLEX,,Run,Rush
02466f3b35633f2ca7d2977bfa29e3846ed34d973ce11b3bb52306c8be79a441.png,STRONG FLEX,,Run,Rush
436953eed2ce080bcfea051ce63e0aaad202e5682b72fd2ab8cdd25a577c57d4.png,STRONG FLEX,,Run,Rush
6e1556fde4ed5fb7b153fe573d8f885c583b4c209c64f060918d8ec12e6c90ca.png,PLANE FLEX,,,Timeout
9dd152a3553f9f3ab82a4cb3c633f0d7b197cf3cf1b1b55fa43fbcc162640192.png,PLANE FLEX,,Pass,Incomplete
5729245a44b23adb7f2055a5783a7d5f0152be291d58955215a77a438fd0cd95.png,PLANE FLEX,,Pass,Complete
f7a8fb28831d9590a3534341f0dd50c1b1b0174b37992a3a7bbc763e5a7377ca.png,PLANE FLEX,,Run,Rush
ae886e14b9f42382a46b14d112a3c968b4a2de4c4bc6eeb7bee82085b6149f91.png,STRONG FLEX,,Run,Rush
f7a8fb28831d9590a3534341f0dd50c1b1b0174b37992a3a7bbc763e5a7377ca.png,STRONG FLEX,,Run,Rush
f7a8fb28831d9590a3534341f0dd50c1b1b0174b37992a3a7bbc763e5a7377ca.png,STRONG FLEX,,Pass,Scramble
12f07fba964ccae54348e2eb4f5a86662007db433506bb237287e0f19760c911.png,STRONG FLEX,,Run,Fumble
235b45bdffd36c8a7917cdf15489f64c8f8150da55691a048e3a11fb5444c0ef.png,STRONG FLEX,,Pass,Interception
f7a8fb28831d9590a3534341f0dd50c1b1b0174b37992a3a7bbc763e5a7377ca.png,MIAMI SPLIT,,Run,Rush
d2803a183dc246e9f6fc0bac1c4d683776fd46ea8a6e52e9cf96da7b4625de2b.png,MIAMI SPLIT,,Pass,Incomplete
42c4ac97b56dc7755e2ad99e2cca92fe9ab78998e0a1c00a25e8f8e51c8cd2fd.png,STRONG FLEX,,Pass,Complete
3e9810e2147a9c80493d29c1e5ef347690eab252d0a50e10a6534d9b99eb3cd2.png,B FLEX,,Run,Rush
0282030eef78c931edce0cf6a0f1a0c8caf786ef7c8625cc6d4bcf28bf16acbe.png,TRIO,,Run,Rush
5327efa86f1adbeaa28f8a2ee7af704e1fa2e6803ce5dd45b0448a027d4bdd01.png,B FLEX,,Pass,Complete
f7a8fb28831d9590a3534341f0dd50c1b1b0174b37992a3a7bbc763e5a7377ca.png,,,Run,Rush
5729245a44b23adb7f2055a5783a7d5f0152be291d58955215a77a438fd0cd95.png,,,Pass,Complete
12f07fba964ccae54348e2eb4f5a86662007db433506bb237287e0f19760c911.png,,,Pass,Sack
8dd1f176663c86a852dc65df5b417b997241e8876ae6eeb5e4082e1ae598877c.png,,,Pass,Incomplete
8dd1f176663c86a852dc65df5b417b997241e8876ae6eeb5e4082e1ae598877c.png,,,Pass,Incomplete
4af29d2e4a53af8612352d309adbb529769c764e6223ca8177eea5c43472d30b.png,,,Pass,Complete
2c1e653c4dfcb3e9a520fe8a612905039cfbbb8a689edb0db087c24b26a7e778.png,,,Pass,Incomplete
c43329478c10f41d8e2310c8d2605441c4a2a752f8a27f688c83ade522600a38.png,,,Pass,Incomplete
8dd1f176663c86a852dc65df5b417b997241e8876ae6eeb5e4082e1ae598877c.png,,,Pass,Incomplete
1e5e3e6f3ce655fc7880fe43a8752f01b1c0b7c523655371be2fa02d0be19fe9.png,,,Pass,Sack
d944b44f1b3f6401a4f34891a962758ba2af48d09379d55e38b4e99ef9850fc4.png,KINGS SPLIT,,Pass,Incomplete
7e55697841d7b1297f881adead0ee277723543afce2a487102b7ae4fde55fb9a.png,KINGS SPLIT,SPRINT DRAW,Run,Rush
e48c8883e3dc60b48cef52abfdafccc3671cc54eeb9ee4df835622e32b09cdc9.png,CHIEF,,Run,Rush
6b391f5fd44b475a63e9f3e494ed3cd7f114ab89f1f6334243baaf677cc9b2e0.png,SUPER,,Run,Rush
6dce86525d4997869d99c4b107543c672d47297f2c0eaa31773fab09826ce26d.png,SPACE,,Pass,Complete
535778a57a3a33e92f02abb1b5d07b0bced2a9b9848df951586300670662c99d.png,SUPER,PENN STATE,Run,Rush
96b28915a8389b38a3e6ae6ba091efb3604864b2aeb7fbc60d09d561dd6ae4df.png,B FLEX,,Pass,Complete
f5116b0c27a5f1a13f281db4941646702110705d2f6efe016af5904e87256b6f.png,CHIEF,,Pass,Incomplete
1c652428176b0cc192f0c30dc5c02632c3ac1413c38969eabfeeff8be0abb4a5.png,SUPER,,Pass,Complete
97c9715c5a0be2fe90f7f0ee0222f6537e86e761d08686be208120eed97e788b.png,SPLIT FLEX,,,Penalty
d53175805ac410aa51c5ebf9991468ee2a5fc13aefb182fc74e5b686587bb5e4.png,SPLIT FLEX,,Pass,Complete
72158fa7845ff36272bfb97be4806d9900068fe6519a599aa5ed821a03ce72e4.png,SPLIT FLEX,HAWAII LEAD,Run,Rush
2b0ebe321b884ea8e6c121c1fcd63825715fdf8a00772bdaee951f86b1734e23.png,CHARGER,,Run,Rush
b561bc732868587e617ca70a88d34496ca6bdfacccdb02aea8e052c8faf88a9e.png,CHIEF,,Run,Rush
39a0dd43bcdc24386d01b4694a367562ce9e3ca3b1f182cff54de0e58f646c49.png,KINGS SPLIT,,Pass,Complete
90a56eba53b6a7c017de492c62cf82f1a6bef8cc8c3fa20bb258653689c554c3.png,CHIEF,,Run,Rush
9751ac2abeba52a2fb2081520d4398bb5a39c735a59ef87d0f78f42789e5d030.png,SUPER OVER,,Run,Rush
83facb2856bc2dd444a892b5e6ac9254108c00eb9e4e322a72265302cfe780f1.png,CINCINNATI,,Run,"Rush, TD"
52c9cedef9cab299db198119a77d305aa2194a40c2e81a92deb5d7998833599b.png,ROCKET,,Pass,Scramble
0b99cab7fa2c6ed4b01bac38318877baacc76b7da1c417f3d6254d5a2979d4b1.png,KINGS TIGHT,SPRINTOUT,Pass,Complete
4ca778ce6903991f2536247eef3196ba10afb99c11ff412e0e8956566521fa4a.png,CHIEF,,Run,Rush
6afa61e2eb243e652337e05cc360f0394bede67ac094e0b02180a75587f8639d.png,SUPER,OVER,Pass,Complete
9cd36129e89b2c48085a82717ecf51356acb07279d595afcfc4ddc60e7fa83ca.png,CHIEF,BOOT,Pass,Incomplete
37eace927e83798060e52c3f67eb6dde3e4d12702c9cdf6e7b8e6ea4daa212d7.png,SUPER,,Run,Rush
77f7ae904c226b204ffb9fdd513f5b833234e3afcdd7c74d034b637a8fd82e37.png,MIAMI SHORT,WAKE FOREST RPO,Pass,Incomplete
4e5e6a961a7fa2066f733931b767865f182ea26470298420523657bc0f648380.png,KINGS TIGHT,,Pass,Sack
112d232fa821d12280153bd6c5754630291b4321c246bf50f0dbb6ced23d51d3.png,MIAMI SPLIT,,Pass,Complete
7d7b62b8152b4520c2a32717706d6f22e97f7f7c6e36d1a883d963d13585d378.png,KINGS SPLIT,BLUE,Pass,Complete
dbc39277517f14c5f3acd4c5628f47fd82d9ba9df4354137ce22dd316da2a8e9.png,MIAMI SPLIT,,Run,Rush
ebc0cb2927bf62fe96b7a3409ff74f6064e7d60baaf9ac5deae5a6064e65e66d.png,MIAMI SPLIT,,Pass,Incomplete
5fcc4257589070ff538a156601b3f639b5c7bc94ee14d4c41dfb7ae8649c4d81.png,ROCKET,DRAW RPO,Pass,Complete
47cf9c052312bfb8fceee28bbc9cde7db4830999f2a31b357f9e3f2792a34eee.png,ROCKET,,Pass,Complete
36d32ac9e8990cc8a3bc1a84625310a53c342ea7c119a636d59c9cbf702df38a.png,KINGS SPLIT,,Run,Rush
996ebbe45a1dc62663a649c307c969b72a8a767cb7cc74e7ed026c19fb3f4ea5.png,KINGS SPLIT,,Pass,Complete
fdcd9b7a19d34475df54e87b7abefaa3dac52ffc6c02fcc5ff954dc8a0605c23.png,KINGS SPLIT,,,Timeout
f9091a1cb057c131437ba84fb58f1c45a67c950e1e942dd5d85ea81f8f79e44b.png,KINGS SPLIT,,Pass,Incomplete
767feec2c968b391ab3521d464fbe5a4d569d7b40beff6e483b7a98d0a5174a8.png,CHIEF,SNAKE,Pass,Complete
